今	いま	ima	now
通学	つうがく	tsuugaku	commuting to school
遠い	とおい	tooi	far; distant; far away; a long way off; in the distance
近い	ちかい	chikai	near; close; short (distance)
父	ちち	chichi	father
祖父	そふ	sofu	grandfather
お父さん	おとうさん	otousan	father; dad
母	はは	haha	mother
祖母	そぼ	sobo	grandmother
お母さん	おかあさん	okaasan	mother; mom
新聞	しんぶん	shinbun	newspaper
聞こえる	きこえる	kikoeru	to be heard; to be audible
聞く	きく	kiku	to hear
言語	げんご	gengo	language
言葉	ことば	kotoba	word; phrase; expression
伝言	でんごん	dengon	verbal message; word (from someone)
言う	いう	iu	to say
読む	よむ	yomu	to read
読書	どくしょ	dokusho	reading (a book)
句読点	くとうてん	kutouten	punctuation mark
兄	あに	ani	older brother; elder brother
兄弟	きょうだい	kyoudai	siblings; brothers and sisters; brothers
お兄さん	おにいさん	oniisan	older brother; elder brother
姉	あね	ane	older sister; elder sister
姉妹	しまい	shimai	sisters
お姉さん	おねえさん	oneesan	older sister; elder sister
弟	おとうと	otouto	younger brother; little brother; kid brother​
妹御	いもうと	imouto	younger sister
姉妹	しまい	shimai	sisters
頭	あたま	atama	head
頭痛	ずつう	sutsuu	headache
文頭	ぶんとう	buntou	start of a sentence
顔	かお	kao	face; visage
洗顔	せんがん	sengan	face-washing
古い	ふるい	furui	old; aged; ancient; antiquated; antique; timeworn​
中古	ちゅうこ	chuuko	used, second-hand
新しい	あたらしい	atarashii	new; novel; fresh; recent; latest; up-to-date; modern​
新た	あらた	arata	new; fresh; novel
新聞	しんぶん	shinbun	newspaper
新幹線	しんかんせん	shinkansen	Shinkansen; bullet train
新年	しんねん	shinnen	New Year
高い	たかい	takai	high; tall​
高校生	こうこうせい	koukousei	senior high school student
背が高い	せ が たかい	se ga takai	tall (of a person)
太い	ふとい	futoi	fat; thick
太る	ふとる	futoru	to put on weight; to gain weight
太鼓	たいこ	taiko	drum
丸太	まるた	maruta	log
細い	ほそい	hosoi	thin; slender; fine
細かい	こまかい	komakai	small
詳細	しょうさい	shousai	details; particulars; specifics​
注射器	ちゅうしゃき	chuushaki	syringe
明るい	あかるい	akarui	light; well-lit; well-lighted
明かり	あかり	akari	light; illumination; glow; gleam​
明ける	あける	akeru	to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock
説明	せつめい	setsumei	explanation; exposition; description; account; caption; legend​
月明	げつめい	getsumei	moonlight
書く	かく	kaku	to write; to compose; to pen​
読書	どくしょ	doukusho	reading (a book)
書道	しょどう	shoudou	calligraphy
図書館	としょかん	toshoukan	library
辞書	じしょ	jisho	dictionary; lexicon
話	はなし	hanashi	talk; speech; chat; conversation
話す	はなす	hanasu	to talk; to speak; to converse; to chat​
会話	かいわ	kaiwa	conversation; talk; chat
電話	でんわ	denwa	telephone call; phone call
来る	くる	kuru	to come (spatially or temporally); to approach; to arrive​
来週	らいしゅう	raishuu	next week
来月	らいげつ	raigetsu	next month
来年	らいねん	rainen	next year​
来場	らいじょう	raijou	attendance
行う	おこなう	okonau	to perform; to do; to conduct oneself; to carry out
行く	いく	iku	to go; to move (towards); to head (towards); to leave (for)​
銀行	ぎんこう	ginkou	bank; banking institution
旅行	りょこう	ryokou	travel; trip; journey; excursion; tour
行列	ぎょうれつ	gyouretsu	line; queue
食べる	たべる	taberu	to eat
食う	くう	kuu	to eat​
食事	しょくじ	shokuji	meal; dinner
朝食	ちょうしょく	choushoku	breakfast
食堂	しょくどう	shokudou	dining room
思う	おもう	omou	to think; to consider; to believe; to reckon​
不思議	ふしぎ	fushigi	wonderful
思い出	おもいで	omoide	memories; recollections; reminiscence​
