刀	かたな	katana	sword
頭	あたま	atama	head
夕方	ゆうがた	yuugata	evening, dusk
飛行機	ひこうき	hikouki	airplane
切る	きる	kiru	to cut
親切	しんせつ	shinsetsu	kind, gentle
大切	たいせつ	taisetsu	important, significant
切手	きって	kitte	stamp
紙	かみ	kami	paper
手紙	てがみ	tegami	letter
送る	おくる	okuru	to send
切符	きっぷ	kippu	ticket
買う	かう	kau	to buy, to purchase
売買	ばいばい	baibai	trade, buying and selling
買い物	かいもの	kaimono	shopping, purchased goods
花	はな	hana	flower
株	かぶ	kabu	stock, share​
売る	うる	uru	to sell
売店	ばいてん	baiten	stand, stall, booth, kiosk, store
商売	しょうばい	shoubai	trade, business, commerce
売り場	うりば	uriba	selling area, counter
宝くじ	たからくじ	takarakuji	lottery
販売	はんばい	hanbai	sales, selling, marketing​
売り切れ	うりきれ	urikire	sold-out
商売	しょうばい	shoubai	trade, business, commerce
会う	あう	au	to meet, to encounter, to see
会話	会話	kaiwa	conversation, talk, chat
会社員	かいしゃいん	kaishain	company employee
会議	かいぎ	kaigi	meeting, conference
来年	らいねん	rainen	next year
司会	しかい	shikai	leading a meeting, presiding over a meeting
会釈	えしゃく	eshaku	slight bow
会員	かいいん	kaiin	member; the membership
会社	かいしゃ	kaisha	company, corporation
語る	かたる	kataru	to talk about, to speak of, to tell, to narrate
日本語	にほんご	nihongo	Japanese language
外国語	がいこくご	gaikokugo	foreign language
言語	げんご	gengo	language
夢	ゆめ	yume	dream
英語	えいご	eigo	English language
語り合う	かたりあう	katariau	to talk together
語学	ごがく	gogaku	study of foreign languages
案内	あんない	annai	guidance, leading (the way), showing around
知る	しる	shiru	to know
知人	ちじん	chijin	friend
知識	ちしき	chishiki	knowledge, information
知り合い	しりしあい	shiriai	acquaintance
地球	ちきゅう	chikyuu	Earth
動く	うごく	ugoku	to move, to stir, to shift, to shake, to swing
