Ah!, Oh!	ああ	aa	
appears, to be the case	そう/そうです	sou/soudesu	
cleaning, sweeping	そうじ（する）	souji (suru)	掃除
and, like that	そうして/そして	soushite/soshite	
that place, there	そこ	soko	
over there	そちら	sochira	
over there	そっち	socchi	
outside, exterior	そと	soto	外
that	その	sono	
near, close, beside	そば	soba	
sky	そら	sora	空
it, that	それ	sore	
and then, after that	それから	sorekara	
in that situation, well then...	それでは	soredeha	
counter for vehicles/machines	～だい	～dai	～台
university	だいがく	daigaku	大学
embassy	たいしかん	taishikan	大使館
safe, all right, O.K.	だいじょうぶ	daijoubu	大丈夫
very likeable, like very much	だいすき	daisuki	大好き
important	たいせつ	taisetsu	大切
kitchen	だいどころ	daidokoro	台所
very	たいへん	taihen	
difficult situation, tough situation	たいへん	taihen	
tall, high	たかい	takai	高い
expensive	たかい	takai	高い
only ～, just ～	～だけ	～dake	
many, a lot, much	たくさん	takusan	
taxi	タクシー	takushii	
to put out, to send	だす	dasu	出す
plural suffix	～たち	～tachi	
to stand	たつ	tatsu	立つ
length, height	たて	tate	
building	たてもの	tatemono	建物
enjoyable, fun	たのしい	tanoshii	楽しい
to request, to ask	たのむ	tanomu	頼む
tobacco, cigarettes	たばこ	tabako	
perhaps, probably	たぶん	tabun	
food	たべもの	tabemono	食べ物
to eat	たべる	taberu	食べる
egg(s)	たまご	tamago	卵
who	だれ	dare	誰
someone, somebody	だれか	dareka	誰か
birthday	たんじょうび	tanjoubi	誕生日
gradually, by degrees	だんだん	dandan	
small, little	ちいさい	chiisai	小さい
small, little	ちいさな	chiisana	小さな
near, close by, short	ちかい	chikai	近い
to differ (from)	ちがう	chigau	違う
near	ちかく	chikaku	近く
underground train, subway	ちかてつ	chikatetsu	地下鉄
map	ちず	chizu	地図
(one's own) father	ちち	chichi	父
brown	ちゃいろ	chairo	茶色
rice bowl	ちゃわん	chawan	
during, while ～ing	～ちゅう	～chuu	～中
just, right, exactly	ちょうど	choudo	
a little, somewhat	ちょっと	chotto	
for one day, first of month	ついたち	tsuitachi	一日
to use	つかう	tsukau	使う
to get tired, to tire	つかれる	tsukareru	疲れる
next	つぎ	tsugi	次
to arrive at, to reach	つく	tsuku	着く
desk	つくえ	tsukue	机
to make, to create	つくる	tsukuru	作る
to turn on (eg a light)	つける	tsukeru	
to serve, to work (for)	つとめる	tsutomeru	勤める
insignificant, boring	つまらない	tsumaranai	
cold (to the touch)	つめたい	tsumetai	冷たい
strong, powerful	つよい	tsuyoi	強い
hand	て	te	手
tape	テープ	teepu	
tape recorder	テープレコーダー	teepurekoodaa	
table	テーブル	teeburu	
to depart, to go out	でかける	dekakeru	出かける
letter	てがみ	tegami	手紙
to be able to	できる	dekiru	
exit	でぐち	deguchi	出口
test	テスト	tesuto	
with that...	では	deha	
department store	デパート	depaato	
but, however	でも	demo	
to appear, to leave	でる	deru	出る
television, TV	テレビ	terebi	
weather	てんき	tenki	天気
electricity, (electric) light	でんき	denki	電気
electric train	でんしゃ	densha	電車
telephone	でんわ	denwa	電話
door (Japanese style)	と	to	戸
counter for occurrences	～ど	～do	～度
door (Western style)	ドア	doa	
toilet	トイレ	toire	
how, in what way	どう	dou	
why?, for what reason	どうして	doushite	
please, kindly, by all means	どうぞ	douzo	
animal	どうぶつ	doubutsu	動物
thanks, very	どうも	doumo	
ten	とお	too	十
far, distant	とおい	tooi	遠い
ten days, the tenth (day of the month)	とおか	tooka	十日
at the time of ～	～とき	～toki	～時
sometimes	ときどき	tokidoki	時々
watch, clock	とけい	tokei	時計
where, what place	どこ	doko	
place	ところ	tokoro	所
year, age	とし	toshi	年
library	としょかん	toshokan	図書館
which, which way	どちら	dochira	
which one, which way	どっち	docchi	
very	とても	totemo	
who	どなた	donata	
next to, next door to	となり	tonari	隣
which	どの	dono	
to fly, to hop	とぶ	tobu	飛ぶ
to come to a halt	とまる	tomaru	止まる
friend	ともだち	tomodachi	友達
Saturday	どようび	doyoubi	土曜日
bird	とり	tori	鳥
chicken meat	とりにく	toriniku	とり肉
to take	とる	toru	取る
to take (a photo)	とる	toru	撮る
which (of three or more)	どれ	dore	
what, what kind of	どんな	donna	
there isn't, doesn't have	ない	nai	
knife	ナイフ	naifu	
inside, middle, among	なか	naka	中
long	ながい	nagai	長い
while ~ing, during, although	～ながら	～nagara	
to sing (bird), to make sound (animal)	なく	naku	鳴く
to lose something	なくす	nakusu	無くす
why	なぜ	naze	
summer	なつ	natsu	夏
summer vacation, summer holiday	なつやすみ	natsuyasumi	夏休み
et cetera	～など	～nado	
seven	ななつ	nanatsu	七つ
what	なん/なに	nan/nani	何
seven days, the seventh day (of the month)	なのか	nanoka	七日
name	なまえ	namae	名前
to learn	ならう	narau	習う
to line up, to stand in a line	ならぶ	narabu	並ぶ
to line up, to set up	ならべる	naraberu	並べる
to become	なる	naru	
what sort of ～	なん～	nan～	何～
two	に	ni	二
bustling, busy	にぎやか	nigiyaka	
meat	にく	niku	肉
west	にし	nishi	西
～ day of the month, for ～ days	～にち	～nichi	～日
Sunday	にちようび	nichiyoubi	日曜日
luggage	にもつ	nimotsu	荷物
news	ニュース	nyuusu	
garden	にわ	niwa	庭
counter for people	～にん	～nin	～人
to take off clothes	ぬぐ	nugu	脱ぐ
lukewarm	ぬるい	nurui	温い
tie, necktie	ネクタイ	nekutai	
cat	ねこ	neko	猫
to go to bed, to sleep	ねる	neru	寝る
～ years	～ねん	～nen	～年
notebook, exercise book	ノート	nooto	
to climb	のぼる	noboru	登る
drink, beverage	のみもの	nomimono	飲み物
to drink	のむ	nomu	飲む
to get on, to ride in, to board	のる	noru	乗る
tooth	は	ha	歯
party	パーティー	paatii	
yes	はい	hai	
counter for cupfuls	～はい	～hai	～杯
ashtray	はいざら	haizara	灰皿
to enter, to contain, to hold	はいる	hairu	入る
postcard	はがき	hagaki	葉書
to wear, to put on (trousers)	はく	haku	
box	はこ	hako	箱
bridge	はし	hashi	橋
chopsticks	はし	hashi	
to begin	はじまる	hajimaru	始まる
beginning, start	はじめ	hajime	初め/始め
for the first time	はじめて	hajimete	初めて
to run	はしる	hashiru	走る
bus	バス	basu	
butter	バター	bataa	
20 years old, 20th year	はたち	hatachi	二十歳
to work	はたらく	hataraku	働く
eight	はち	hachi	八
twenty days, twentieth (day of the month)	はつか	hatsuka	二十日
flower	はな	hana	花
nose	はな	hana	鼻
talk, story	はなし	hanashi	話
to speak	はなす	hanasu	話す
(one's own) mother	はは	haha	母
early	はやい	hayai	早い
quick, fast	はやい	hayai	速い
spring	はる	haru	春
to stick, to paste	はる	haru	貼る
clear weather	はれ	hare	晴れ
to be sunny	はれる	hareru	晴れる
half	はん	han	半
evening	ばん	ban	晩
～st/th best	～ばん	～ban	～番
bread	パン	pan	
handkerchief	ハンカチ	hankachi	
number	ばんごう	bangou	番号
dinner, evening meal	ばんごはん	bangohan	晩御飯
half	はんぶん	hanbun	半分
east	ひがし	higashi	東
counter for small animals	～ひき	～hiki	～匹
to pull	ひく	hiku	引く
to play (piano, guitar)	ひく	hiku	弾く
short, low	ひくい	hikui	低い
aeroplane, airplane	ひこうき	hikouki	飛行機
left hand side	ひだり	hidari	左
man, person	ひと	hito	人
one	ひとつ	hitotsu	一つ
one month	ひとつき	hitotsuki	一月
one person	ひとり	hitori	一人
free time, leisure	ひま	hima	暇
100, hundred	ひゃく	hyaku	百
hospital	びょういん	byouin	病院
illness, disease, sickness	びょうき	byouki	病気
hiragana	ひらがな	hiragana	平仮名
noon, daytime	ひる	hiru	昼
lunch, midday meal	ひるごはん	hirugohan	昼御飯
spacious, wide	ひろい	hiroi	広い
film (roll of)	フィルム	firumu	
envelope	ふうとう	fuutou	封筒
swimming pool	プール	puuru	
fork	フォーク	fooku	
to blow (wind, etc)	ふく	fuku	吹く
clothes	ふく	fuku	服
two	ふたつ	futatsu	二つ
pork	ぶたにく	butaniku	豚肉
two people	ふたり	futari	二人
second day of the month, two days	ふつか	futsuka	二日
fat, thick	ふとい	futoi	太い
winter	ふゆ	fuyu	冬
to precipitate, to fall (e.g. rain)	ふる	furu	降る
old (not person), aged, ancient	ふるい	furui	古い
bath	ふろ	furo	
～minutes	～ふん	～fun	～分
sentence, text	ぶんしょう	bunshou	文章
page	ページ	peeji	
unskillful, poor	へた	heta	下手
bed	ベッド	beddo	
pet	ペット	petto	
room	へや	heya	部屋
area, vicinity	へん	hen	辺
pen	ペン	pen	
study, diligence	べんきょう（する）	benkyou (suru)	勉強
convenient, handy	べんり	benri	便利
way	ほう	hou	
hat	ぼうし	boushi	帽子
ball-point pen	ボールペン	boorupen	
other place, the rest	ほか	hoka	外
pocket	ポケット	poketto	
want, in need of, desire	ほしい	hoshii	欲しい
post	ポスト	posuto	
thin, slender, fine	ほそい	hosoi	細い
button	ボタン	botan	
hotel	ホテル	hoteru	
book	ほん	hon	本
counter for long cylindrical things	～ほん	～hon	～本
bookshelves	ほんだな	hondana	本棚
reality, truth	ほんとう	hontou	
counter for flat things	～まい	～mai	～枚
every morning	まいあさ	maiasa	毎朝
every month, monthly	まいげつ/まいつき	maigetsu/maitsuki	毎月
every week	まいしゅう	maishuu	毎週
every day	まいにち	mainichi	毎日
every year, annually	まいねん/まいとし	mainen/maitoshi	毎年
every night	まいばん	maiban	毎晩
before, in front	まえ	mae	前
in front of ～	～まえ	～mae	～前
to turn, to bend	まがる	magaru	曲る
unappetising, unpleasant (taste)	まずい	mazui	
again, and	また	mata	
yet, still, besides	まだ	mada	
town, city	まち	machi	町
to wait	まつ	matsu	待つ
straight (ahead), direct	まっすぐ	massugu	
match	マッチ	macchi	
window	まど	mado	窓
round, circular	まるい	marui	丸い/円い
ten thousand, everything	まん	man	万
fountain pen	まんねんひつ	mannenhitsu	万年筆
to brush (teeth)	みがく	migaku	磨く
right hand side	みぎ	migi	右
short	みじかい	mijikai	短い
water	みず	mizu	水
store, shop, establishment	みせ	mise	店
to show, to display	みせる	miseru	見せる
road, street	みち	michi	道
three days, the third day (of the month)	みっか	mikka	三日
three	みっつ	mittsu	三つ
green	みどり	midori	緑
everyone	みなさん	minasan	皆さん
South, proceeding south	みなみ	minami	南
ear	みみ	mimi	耳
to see, to watch	みる	miru	見る
all, everyone, everybody	みんな	minna	
six days, sixth (day of month)	むいか	muika	六日
beyond, over there	むこう	mukou	向こう
difficult	むずかしい	muzukashii	難しい
six	むっつ	muttsu	六つ
village	むら	mura	村
eye, eyeball	め	me	目
metre, meter	メートル	meetoru	
spectacles, glasses	めがね	megane	眼鏡
already	もう	mou	
again	もう	mou	
Thursday	もくようび	mokuyoubi	木曜日
hello (on phone)	もしもし	moshimoshi	
(1) to hold, to carry, (2) to possess	もつ	motsu	持つ
more, longer, farther	もっと	motto	
thing, object	もの	mono	物
gate	もん	mon	門
problem, question	もんだい	mondai	問題
～ shop	～や	～ya	屋
greengrocer	やおや	yaoya	八百屋
vegetable	やさい	yasai	野菜
easy, plain, simple	やさしい	yasashii	易しい
cheap, inexpensive	やすい	yasui	安い
rest, vacation, holiday	やすみ	yasumi	休み
to rest, to have a break, to take a day off	やすむ	yasumu	休む
eight	やっつ	yattsu	八つ
mountain	やま	yama	山
to do	やる	yaru	
evening	ゆうがた	yuugata	夕方
dinner	ゆうはん	yuuhan	夕飯
post office	ゆうびんきょく	yuubinkyoku	郵便局
last night	ゆうべ	yuube	昨夜
famous	ゆうめい	yuumei	有名
snow	ゆき	yuki	雪
slowly, at ease	ゆっくり・と	yukkuri・to	
eight days, the eighth (day of the month)	ようか	youka	八日
Western-style clothes	ようふく	youfuku	洋服
frequently, often	よく	yoku	
well, skillfully	よく	yoku	
beside, side, width	よこ	yoko	横
(1) 4th day of month, (2) four days	よっか	yokka	四日
four	よっつ	yottsu	四つ
to call out, to invite	よぶ	yobu	呼ぶ
to read	よむ	yomu	読む
evening, night	よる	yoru	夜
weak, feable	よわい	yowai	弱い
next month	らいげつ	raigetsu	来月
next week	らいしゅう	raishuu	来週
next year	らいねん	rainen	来年
radio	ラジオ	rajio	
radio cassette player	ラジカセ	rajikase	
splendid, fine	りっぱ	rippa	
overseas student	りゅうがくせい	ryuugakusei	留学生
parents, both parents	りょうしん	ryoushin	両親
cooking, cuisine	りょうり	ryouri	料理
travel, trip	りょこう	ryokou	旅行
zero, nought	れい	rei	零
refrigerator	れいぞうこ	reizouko	冷蔵庫
record	レコード	rekoodo	
restaurant	レストラン	resutoran	
(to) practice	れんしゅう（する）	renshuu (suru)	練習
corridor	ろうか	rouka	廊下
six	ろく	roku	六
shirt (lit: white shirt), business shirt	ワイシャツ	waishatsu	
young	わかい	wakai	若い
to understand	わかる	wakaru	分かる
to forget	わすれる	wasureru	忘れる
I, myself	わたし	watashi	私
I, myself	わたくし	watakushi	私
to pass over, to hand over	わたす	watasu	渡す
to cross over, to go across	わたる	wataru	渡る
bad, inferior	わるい	warui	悪い
